Iteracion,Error_Norma
1,0.8036081694694627
2,0.38805389032019433
3,0.10431253535409635
4,0.07241305033253909
5,0.14224104540414995
6,0.8211120576585232
7,0.4793367754732072
8,0.612610811487223
9,0.35532808103490476
10,0.5365347692771808
11,0.632672711484437
12,0.1452565346108563
13,0.14292566298248033
14,0.6648760123633858
15,0.3097475049662767
16,0.39197927501463936
17,0.2949422790897098
18,0.2614395236046064
19,0.532354726408728
20,0.3074644716500434
21,0.3727587050666249
22,0.15413903269758444
23,0.3493721803030856
24,0.5948133900765369
25,0.04765680666570726
26,0.2927013892223953
27,0.21551448245563454
28,0.5463168321834232
29,0.03935431579923521
30,0.1723304679665707
31,0.3826063908923504
32,0.3624837780080338
33,0.39606218633523116
34,0.7245011710167045
35,0.38185077542157897
36,0.14784550489276327
37,0.4031396833150569
38,0.2962749119666287
39,0.08382316469922546
40,0.35720867575922377
41,0.0891465802388719
42,0.3716604585087304
43,0.1234886937824009
44,0.15459591596403077
45,0.16058254983504872
46,0.4606565032929506
47,0.03401324879021095
48,0.2826813239526095
49,0.48258205092613726
50,0.41821629181668574
